"Time","value"
1706346640086,104824
1706346640180,105081
1706346640274,104922
1706346640368,104143
1706346640462,104059
1706346640555,104229
1706346640650,104840
1706346640743,105349
1706346640837,105267
1706346640931,104255
1706346641025,104438
1706346641119,103886
1706346641213,104274
1706346641307,105801
1706346641401,104668
1706346641495,104393
1706346641589,105337
1706346641683,105462
1706346641776,103649
1706346641871,104480
1706346641964,107106
1706346642058,104665
1706346642152,103412
1706346642246,106343
1706346642340,105391
1706346642434,103049
1706346642527,104946
1706346642622,107193
1706346642716,107003
1706346642810,104121
1706346642903,102345
1706346642997,103816
1706346643091,108164
1706346643461,103998
1706346643555,103389
1706346643649,104921
1706346643743,106360
1706346643837,105904
1706346643931,104260
1706346644025,103879
1706346644119,103961
1706346644213,105020
1706346644307,104853
1706346644401,104702
1706346644494,105214
1706346644589,104854
1706346644682,104262
1706346644776,104818
1706346644870,104489
1706346644964,104973
1706346645058,104547
1706346645152,104341
1706346645246,105297
1706346645340,105929
1706346645434,104615
1706346645527,104227
1706346645621,105575
1706346645715,105461
1706346645809,103437
1706346645903,104142
1706346645997,106664
1706346646091,104700
1706346646185,103179
1706346646279,105500
1706346646373,106232
1706346646466,104361
1706346646560,104542
1706346646654,103410
1706346646748,104246
1706346646842,106402
1706346646936,100626
1706346647030,100288
1706346647124,107030
1706346647218,104660
1706346647312,103274
1706346647406,103926
1706346647500,104589
1706346647593,104672
1706346647688,105428
1706346647781,106612
1706346647875,104902
1706346647969,104847
1706346648293,105096
1706346648388,104618
1706346648482,105050
1706346648575,104855
1706346648669,104995
1706346648763,104956
1706346648857,105115
1706346648951,105188
1706346649045,105114
1706346649139,105120
1706346649233,105481
1706346649326,105068
1706346649420,104238
1706346649514,104087
1706346649608,104925
1706346649702,104261
1706346649796,103743
1706346649890,104800
1706346649984,105241
1706346650078,104710
1706346650172,104933
1706346650266,105101
1706346650360,104495
1706346650454,104888
1706346650548,105082
1706346650641,105009
1706346650735,104291
1706346650829,104944
1706346650923,104227
1706346651017,104327
1706346651111,104178
1706346651205,104805
1706346651299,104247
1706346651393,104912
1706346651487,106005
1706346651580,105500
1706346651675,104051
1706346651769,104210
1706346651863,105303
1706346651957,106148
1706346652050,107077
1706346652144,106125
1706346652238,104239
1706346652332,104410
1706346652426,105065
1706346652520,104522
1706346652614,105080
1706346652708,106514
1706346653010,105211
1706346653102,104814
1706346653196,104724
1706346653290,104857
1706346653384,105758
1706346653478,103858
1706346653572,103309
1706346653666,105677
1706346653760,106355
1706346653854,105394
1706346653948,105892
1706346654042,104536
1706346654136,104039
1706346654230,105526
1706346654323,104988
