"Time","value"
1706346583535,51843
1706346583629,51844
1706346583723,51845
1706346583816,51843
1706346583911,51842
1706346584004,51841
1706346584098,51844
1706346584192,51845
1706346584286,51845
1706346584380,51846
1706346584474,51846
1706346584568,51844
1706346584662,51844
1706346584756,51845
1706346584850,51846
1706346585173,51846
1706346585267,51847
1706346585361,51843
1706346585455,51844
1706346585549,51845
1706346585643,51843
1706346585737,51844
1706346585831,51846
1706346585925,51845
1706346586019,51844
1706346586113,51843
1706346586207,51844
1706346586301,51841
1706346586394,51842
1706346586488,51843
1706346586582,51846
1706346586676,51845
